"City","County","Cases"
"Miami","Dade","12,346"
"Hialeah","Dade","2,751"
"Tampa","Hillsborough","2,068"
"Orlando","Orange","1,968"
"Fort Lauderdale","Broward","1,878"
"Hollywood","Broward","1,783"
"Jacksonville","Duval","1,740"
"West Palm Beach","Palm Beach","1,648"
"Homestead","Dade","1,132"
"Naples","Collier","1,116"
"Lake Worth","Palm Beach","1,060"
"Immokalee","Collier","1,032"
"Fort Myers","Lee","1,012"
"Miami Beach","Dade","942"
"Pompano Beach","Broward","911"
"Bradenton","Manatee","866"
"Saint Petersburg","Pinellas","849"
"Boynton Beach","Palm Beach","778"
"Boca Raton","Palm Beach","740"
"Pensacola","Escambia","667"
"Delray Beach","Palm Beach","580"
"Lehigh Acres","Lee","569"
"Kissimmee","Osceola","557"
"Lake Worth Beach","Palm Beach","555"
"Miramar","Broward","535"
"Lakeland","Polk","518"
"Port Saint Lucie","St. Lucie","512"
"Belle Glade","Palm Beach","480"
"Cape Coral","Lee","470"
"Sarasota","Sarasota","461"
"Indiantown","Martin","432"
"Clewiston","Hendry","425"
"Tallahassee","Leon","424"
"Miami Gardens","Dade","424"
"Stuart","Martin","406"
"Opa Locka","Dade","392"
"Jupiter","Palm Beach","385"
"North Miami Beach","Dade","356"
"North Miami","Dade","354"
"Florida City","Dade","350"
"Gainesville","Alachua","349"
"Coral Springs","Broward","349"
"Port Charlotte","Charlotte","317"
"Arcadia","Desoto","291"
"Daytona Beach","Volusia","289"
"Clearwater","Pinellas","267"
"Sunrise","Broward","265"
"Doral","Dade","250"
"Winter Haven","Polk","247"
"Apopka","Orange","243"
"Palm Beach Gardens","Palm Beach","238"
"Royal Palm Beach","Palm Beach","237"
"Fort Pierce","St. Lucie","232"
"Deerfield Beach","Broward","227"
"Davie","Broward","225"
"Quincy","Gadsden","223"
"Margate","Broward","223"
"Jasper","Hamilton","223"
"South Bay","Palm Beach","223"
"Bristol","Liberty","215"
"South Miami","Dade","215"
"Ocala","Marion","206"
"Largo","Pinellas","203"
"Orange Park","Clay","191"
"Tamarac","Broward","188"
"Aventura","Dade","188"
"Plantation","Broward","187"
"Palmetto","Manatee","185"
"Plant City","Hillsborough","185"
"Brandon","Hillsborough","177"
"Riverview","Hillsborough","177"
"Pahokee","Palm Beach","168"
"Wellington","Palm Beach","168"
"Lake City","Columbia","165"
"Milton","Santa Rosa","165"
"Punta Gorda","Charlotte","165"
"Palm Coast","Flagler","164"
"Saint Cloud","Osceola","162"
"Pembroke Pines","Broward","162"
"Sneads","Jackson","161"
"Bonita Springs","Lee","160"
"Coral Gables","Dade","157"
"Weston","Broward","155"
"Live Oak","Suwannee","155"
"North Lauderdale","Broward","152"
"Seminole","Pinellas","148"
"Melbourne","Brevard","143"
"Okeechobee","Okeechobee","143"
"Labelle","Hendry","137"
"Hallandale","Broward","136"
"Vero Beach","Indian River","129"
"Sanford","Seminole","125"
"Oakland Park","Broward","124"
"Bushnell","Sumter","122"
"Altamonte Springs","Seminole","122"
"Coconut Creek","Broward","121"
"Fort Walton Beach","Okaloosa","121"
"Wilton Manors","Broward","120"
"North Port","Sarasota","118"
"Saint Augustine","St. Johns","116"
"Ormond Beach","Volusia","115"
"Palatka","Putnam","114"
"Deltona","Volusia","114"
"Green Cove Springs","Clay","114"
"Clermont","Lake","109"
"Davenport","Polk","103"
"Moore Haven","Glades","103"
"Lauderhill","Broward","102"
"Ruskin","Hillsborough","100"
"Oviedo","Seminole","98"
"Cocoa","Brevard","93"
"Marianna","Jackson","93"
"Pinellas Park","Pinellas","89"
"Winter Garden","Orange","88"
"Riviera Beach","Palm Beach","86"
"Lantana","Palm Beach","84"
"Palm Harbor","Pinellas","84"
"Panama City","Bay","83"
"Defuniak Springs","Walton","83"
"Ocoee","Orange","83"
"New Port Richey","Pasco","82"
"Spring Hill","Hernando","79"
"Miami Lakes","Dade","78"
"Bartow","Polk","77"
"Lauderdale Lakes","Broward","77"
"Sebring","Highlands","77"
"Casselberry","Seminole","76"
"Winter Park","Orange","76"
"Hobe Sound","Martin","76"
"Wesley Chapel","Pasco","76"
"Venice","Sarasota","74"
"Key Biscayne","Dade","74"
"Middleburg","Clay","74"
"Chipley","Washington","73"
"Estero","Lee","73"
"North Fort Myers","Lee","71"
"Palm Bay","Brevard","70"
"Wauchula","Hardee","69"
"Deland","Volusia","69"
"Valrico","Hillsborough","69"
"The Villages","Sumter","69"
"Land O Lakes","Pasco","66"
"Longwood","Seminole","65"
"Loxahatchee","Palm Beach","64"
"Port Orange","Volusia","63"
"Dade City","Pasco","63"
"Lake Wales","Polk","63"
"Chiefland","Levy","63"
"Bowling Green","Hardee","63"
"Palm City","Martin","60"
"Madison","Madison","60"
"Blountstown","Calhoun","59"
"Kissimmee","Polk","59"
"Cooper City","Broward","58"
"Missing","Palm Beach","58"
"Lake Mary","Seminole","57"
"Ponte Vedra Beach","St. Johns","55"
"Cantonment","Escambia","55"
"Auburndale","Polk","54"
"Inverness","Citrus","53"
"Palm Springs","Palm Beach","52"
"Parrish","Manatee","52"
"Wimauma","Hillsborough","51"
"Avon Park","Highlands","51"
"Perry","Taylor","50"
"Zephyrhills","Pasco","49"
"Winter Springs","Seminole","48"
"Leesburg","Lake","48"
"Lutz","Hillsborough","48"
"Jacksonville Beach","Duval","48"
"Windermere","Orange","47"
"Dania","Broward","46"
"Starke","Bradford","46"
"Key West","Monroe","45"
"Saint Johns","St. Johns","44"
"Seffner","Hillsborough","43"
"Navarre","Santa Rosa","43"
"Mulberry","Polk","43"
"Debary","Volusia","42"
"Titusville","Brevard","42"
"Brooksville","Hernando","42"
"Myakka City","Manatee","41"
"Destin","Okaloosa","41"
"North Palm Beach","Palm Beach","40"
"Crestview","Okaloosa","40"
"Missing","Broward","40"
"Eustis","Lake","40"
"Missing","Dade","40"
"Tarpon Springs","Pinellas","39"
"Holly Hill","Volusia","39"
"Parkland","Broward","39"
"Ponte Vedra","St. Johns","39"
"Port Richey","Pasco","38"
"Jennings","Hamilton","37"
"Orange City","Volusia","37"
"Haines City","Polk","37"
"Palmetto Bay","Dade","37"
"Sarasota","Manatee","36"
"Old Town","Dixie","35"
"Fleming Island","Clay","35"
"New Smyrna Beach","Volusia","34"
"Ellenton","Manatee","34"
"Pinecrest","Dade","34"
"Gulf Breeze","Santa Rosa","33"
"Merritt Island","Brevard","33"
"Niceville","Okaloosa","33"
"Palm Beach","Palm Beach","33"
"Jensen Beach","Martin","32"
"Rockledge","Brevard","32"
"Summerfield","Marion","32"
"Crawfordville","Wakulla","31"
"Fernandina Beach","Nassau","31"
"Sun City Center","Hillsborough","31"
"Hudson","Pasco","30"
"Monticello","Jefferson","29"
"Holiday","Pasco","29"
"Dunedin","Pinellas","28"
"Apollo Beach","Hillsborough","28"
"Missing","Lee","28"
"Gibsonton","Hillsborough","26"
"Bonifay","Holmes","26"
"Lake Placid","Highlands","26"
"Tavernier","Monroe","26"
"Fort Meade","Polk","26"
"Ave Maria","Collier","25"
"Maitland","Orange","23"
"Thonotosassa","Hillsborough","23"
"Tavares","Lake","23"
"Cross City","Dixie","23"
"Havana","Gadsden","23"
"Marco Island","Collier","22"
"Mount Dora","Lake","22"
"Macclenny","Baker","22"
"Missing","Orange","22"
"Dover","Hillsborough","22"
"Lake Panasoffkee","Sumter","22"
"Florida Dept Of Corrections","Union","21"
"Santa Rosa Beach","Walton","21"
"Greenacres","Palm Beach","21"
"Key Largo","Monroe","20"
"Panama City Beach","Bay","20"
"Interlachen","Putnam","20"
"Groveland","Lake","20"
"Alachua","Alachua","20"
"Newberry","Alachua","20"
"Oxford","Sumter","19"
"Lake Park","Palm Beach","19"
"Bunnell","Flagler","19"
"Lady Lake","Lake","18"
"Pace","Santa Rosa","18"
"Zolfo Springs","Hardee","18"
"Shalimar","Okaloosa","18"
"Crystal River","Citrus","18"
"Satellite Beach","Brevard","18"
"Edgewater","Volusia","18"
"Missing","Collier","17"
"Missing","Polk","17"
"El Portal","Dade","17"
"Chattahoochee","Gadsden","17"
"Safety Harbor","Pinellas","17"
"Odessa","Hillsborough","17"
"Mary Esther","Okaloosa","17"
"Callahan","Nassau","17"
"Tequesta","Palm Beach","16"
"Jacksonville","St. Johns","16"
"Carol City","Dade","16"
"Missing","Hillsborough","16"
"Felda","Hendry","15"
"Bal Harbour","Dade","15"
"Gretna","Gadsden","15"
"Fellsmere","Indian River","15"
"Fort Myers Beach","Lee","15"
"West Miami","Dade","15"
"Clearwater Beach","Pinellas","15"
"Cutler Bay","Dade","15"
"Williston","Levy","15"
"Mascotte","Lake","14"
"Dunnellon","Marion","14"
"East Palatka","Putnam","14"
"Midway","Gadsden","14"
"Chuluota","Seminole","14"
"Nokomis","Sarasota","14"
"Rotunda West","Charlotte","14"
"Lakewood Ranch","Manatee","14"
"Hialeah Gardens","Dade","14"
"Hilliard","Nassau","14"
"Oldsmar","Pinellas","14"
"Sebastian","Indian River","14"
"Bronson","Levy","13"
"Yulee","Nassau","13"
"Atlantic Beach","Duval","13"
"North Bay Village","Dade","13"
"Flagler Beach","Flagler","13"
"Lake Butler","Union","13"
"Frostproof","Polk","13"
"Greenwood","Jackson","13"
"Englewood","Sarasota","12"
"Sanibel","Lee","12"
"Lynn Haven","Bay","12"
"Cottondale","Jackson","12"
"Viera","Brevard","12"
"Molino","Escambia","12"
"Citrus Springs","Citrus","12"
"Englewood","Charlotte","11"
"Hallandale Beach","Broward","11"
"Lecanto","Citrus","11"
"Lithia","Hillsborough","11"
"Miami Springs","Dade","11"
"Mayo","Lafayette","11"
"Missing","Hendry","11"
"Medley","Dade","11"
"Indian Rocks Beach","Pinellas","10"
"Trenton","Gilchrist","10"
"Gotha","Orange","10"
"Belle Isle","Orange","10"
"Temple Terrace","Hillsborough","10"
"The Villages","Lake","10"
"Missing","Okeechobee","10"
"Kendall","Dade","10"
"Neptune Beach","Duval","10"
"Biscayne Park","Dade","10"
"Citra","Marion","10"
"Homosassa","Citrus","10"
"Cocoa Beach","Brevard","10"
"Hernando","Citrus","9"
"Coconut Grove","Dade","9"
"Fort White","Columbia","9"
"Keystone Heights","Clay","9"
"Osprey","Sarasota","9"
"Lake Alfred","Polk","9"
"Alva","Lee","9"
"Sunny Isles Beach","Dade","9"
"Bell","Gilchrist","9"
"South Daytona","Volusia","9"
"Juno Beach","Palm Beach","9"
"Belleview","Marion","9"
"Wildwood","Sumter","9"
"Webster","Sumter","8"
"High Springs","Alachua","8"
"Beverly Hills","Citrus","8"
"Eagle Lake","Polk","8"
"Hawthorne","Alachua","8"
"Poinciana","Polk","8"
"Grand Ridge","Jackson","8"
"Missing","Indian River","8"
"Freeport","Walton","8"
"Crescent City","Putnam","8"
"Minneola","Lake","8"
"Mims","Brevard","7"
"Malone","Jackson","7"
"Atlantis","Palm Beach","7"
"Marathon","Monroe","7"
"Trinity","Pasco","7"
"Vernon","Washington","7"
"Southwest Ranches","Broward","7"
"Missing","Pinellas","7"
"Indian Harbour Beach","Brevard","7"
"Kenneth City","Pinellas","7"
"Hypoluxo","Palm Beach","7"
"O Brien","Suwannee","7"
"West Park","Broward","7"
"Surfside","Dade","7"
"West Melbourne","Brevard","6"
"Gulfport","Pinellas","6"
"Lake Suzy","Desoto","6"
"Fruitland Park","Lake","6"
"Dunnellon","Citrus","6"
"Mcalpin","Suwannee","6"
"Dundee","Polk","6"
"South Pasadena","Pinellas","6"
"Bellview","Escambia","6"
"Lady Lake","Sumter","6"
"Miami Shores","Dade","6"
"Sorrento","Lake","6"
"Spring Hill","Pasco","6"
"Polk City","Polk","6"
"Celebration","Osceola","6"
"Lighthouse Point","Broward","6"
"Missing","Hardee","6"
"Christmas","Orange","5"
"White Springs","Hamilton","5"
"Missing","Santa Rosa","5"
"Oak Hill","Volusia","5"
"Missing","Walton","5"
"Carrollwood","Hillsborough","5"
"Florahome","Putnam","5"
"Altha","Calhoun","5"
"Placida","Charlotte","5"
"Missing","Pasco","5"
"Lee","Madison","5"
"Sumterville","Sumter","5"
"Tioga","Alachua","4"
"Venus","Highlands","4"
"Weeki Wachee","Hernando","4"
"Melrose","Putnam","4"
"Missing","Desoto","4"
"Laurel Hill","Okaloosa","4"
"Greenville","Madison","4"
"Glen Saint Mary","Baker","4"
"Raiford","Union","4"
"Eglin Air Force Base","Okaloosa","4"
"Wewahitchka","Gulf","4"
"Wellborn","Suwannee","4"
"Micanopy","Alachua","4"
"Bay Harbor Islands","Dade","4"
"De Leon Springs","Volusia","4"
"Branford","Suwannee","4"
"Floral City","Citrus","4"
"Geneva","Seminole","4"
"Odessa","Pasco","4"
"Ona","Hardee","4"
"Melbourne Beach","Brevard","4"
"Waldo","Alachua","4"
"Missing","Brevard","4"
"Waverly","Polk","4"
"Youngstown","Bay","4"
"Montverde","Lake","4"
"Jay","Santa Rosa","4"
"Lake Helen","Volusia","4"
"Madeira Beach","Pinellas","4"
"Missing","Okaloosa","4"
"Canal Point","Palm Beach","4"
"Golden Beach","Dade","4"
"Sweetwater","Dade","4"
"Zellwood","Orange","3"
"Umatilla","Lake","3"
"Graceville","Jackson","3"
"Howey-In-The-Hills","Lake","3"
"Intercession City","Osceola","3"
"Babson Park","Polk","3"
"Alford","Jackson","3"
"Anthony","Marion","3"
"Pomona Park","Putnam","3"
"Satsuma","Putnam","3"
"Ocklawaha","Marion","3"
"San Mateo","Putnam","3"
"Lutz","Pasco","3"
"Cape Canaveral","Brevard","3"
"Coleman","Sumter","3"
"Greensboro","Gadsden","3"
"Singer Island","Palm Beach","3"
"Palmdale","Glades","3"
"Missing","Duval","3"
"Matlacha","Lee","3"
"Bonifay","Washington","3"
"San Antonio","Pasco","3"
"Westville","Holmes","3"
"Hollister","Putnam","3"
"Century","Escambia","3"
"Archer","Alachua","3"
"Belleair","Pinellas","3"
"Callaway","Bay","3"
"Miramar Beach","Walton","3"
"Indialantic","Brevard","3"
"Poinciana","Osceola","3"
"Sanderson","Baker","3"
"Southport","Bay","3"
"Nocatee","Desoto","3"
"Missing","Marion","3"
"Bascom","Jackson","3"
"Summerland Key","Monroe","3"
"Port Saint Joe","Gulf","3"
"Missing","Unknown","3"
"Hosford","Liberty","3"
"Heathrow","Seminole","2"
"Bryceville","Nassau","2"
"Missing","Monroe","2"
"Mangonia Park","Palm Beach","2"
"Village Of Palmetto Bay","Dade","2"
"Wahneta","Polk","2"
"Naranja","Dade","2"
"Silver Springs","Marion","2"
"Braden River","Manatee","2"
"Campbellton","Jackson","2"
"Fpo","Duval","2"
"Holt","Okaloosa","2"
"Longboat Key","Manatee","2"
"Goulds","Dade","2"
"Missing","Madison","2"
"Lawtey","Bradford","2"
"Centerville","Leon","2"
"Altoona","Lake","2"
"Bradenton Beach","Manatee","2"
"Hastings","St. Johns","2"
"Haverhill","Palm Beach","2"
"Fort Denaud","Hendry","2"
"Fern Park","Seminole","2"
"Lehigh","Lee","2"
"Longboat Key","Sarasota","2"
"Saint James City","Lee","2"
"Fountain","Bay","2"
"Davenport","Osceola","2"
"Palma Sola","Manatee","2"
"Morriston","Levy","2"
"Reunion","Osceola","2"
"Yankeetown","Levy","2"
"Islamorada","Monroe","2"
"Bay Pines","Pinellas","2"
"Missing","St. Johns","2"
"Missing","St. Lucie","2"
"Kathleen","Polk","2"
"Sebastian","Brevard","2"
"Reddick","Marion","2"
"Missing","Volusia","2"
"Lauderdale By The Sea","Broward","2"
"Brooker","Bradford","2"
"Baker","Okaloosa","2"
"Barefoot Bay","Brevard","2"
"Fisher Island","Dade","2"
