"DEPCODE","County","State","City","Cases"
1,"Alachua","Florida","Micanopy","5"
1,"Alachua","Florida","Alachua","40"
1,"Alachua","Florida","Santa Fe","4"
1,"Alachua","Florida","La Crosse","1"
1,"Alachua","Florida","Gainesville","780"
1,"Alachua","Florida","Newberry","36"
1,"Alachua","Florida","Archer","12"
1,"Alachua","Florida","High Springs","19"
1,"Alachua","Florida","Waldo","7"
1,"Alachua","Florida","Hawthorne","9"
1,"Alachua","Florida","Tioga","4"
2,"Baker","Florida","Macclenny","29"
2,"Baker","Florida","Sanderson","8"
2,"Baker","Florida","Glen Saint Mary","7"
3,"Bay","Florida","Youngstown","6"
3,"Bay","Florida","Panama City","191"
3,"Bay","Florida","Parker","1"
3,"Bay","Florida","Callaway","5"
3,"Bay","Florida","Lynn Haven","24"
3,"Bay","Florida","Fountain","2"
3,"Bay","Florida","Tyndall Air Force Base","1"
3,"Bay","Florida","Panama City Beach","36"
3,"Bay","Florida","Southport","4"
4,"Bradford","Florida","Lawtey","12"
4,"Bradford","Florida","Lake Butler","1"
4,"Bradford","Florida","Starke","58"
4,"Bradford","Florida","Hampton","1"
4,"Bradford","Florida","Brooker","2"
5,"Brevard","Florida","Melbourne Beach","9"
5,"Brevard","Florida","Barefoot Bay","3"
5,"Brevard","Florida","Patrick Air Force Base","4"
5,"Brevard","Florida","Sebastian","4"
5,"Brevard","Florida","Grant-Valkaria","6"
5,"Brevard","Florida","Scottsmoor","1"
5,"Brevard","Florida","West Melbourne","14"
5,"Brevard","Florida","Palm Bay","236"
5,"Brevard","Florida","Melbourne","369"
5,"Brevard","Florida","Palm Shores","1"
5,"Brevard","Florida","Overstreet","1"
5,"Brevard","Florida","Titusville","84"
5,"Brevard","Florida","Valkaria","1"
5,"Brevard","Florida","Merritt Island","71"
5,"Brevard","Florida","Viera","15"
5,"Brevard","Florida","Port Saint John","1"
5,"Brevard","Florida","Satellite Beach","36"
5,"Brevard","Florida","Malabar","6"
5,"Brevard","Florida","Cocoa","213"
5,"Brevard","Florida","Cocoa Beach","34"
5,"Brevard","Florida","Cape Canaveral","17"
5,"Brevard","Florida","Indialantic","17"
5,"Brevard","Florida","Mims","20"
5,"Brevard","Florida","Rockledge","68"
5,"Brevard","Florida","Indian Harbour Beach","9"
6,"Broward","Florida","West Park","9"
