"DEPCODE","County","State","City","Cases"
1,"Alachua","Florida","Gainesville","861"
1,"Alachua","Florida","Alachua","42"
1,"Alachua","Florida","Micanopy","6"
1,"Alachua","Florida","Newberry","39"
1,"Alachua","Florida","Tioga","4"
1,"Alachua","Florida","Waldo","7"
1,"Alachua","Florida","La Crosse","1"
1,"Alachua","Florida","Hawthorne","9"
1,"Alachua","Florida","High Springs","19"
1,"Alachua","Florida","Archer","12"
1,"Alachua","Florida","Santa Fe","5"
2,"Baker","Florida","Macclenny","33"
2,"Baker","Florida","Glen Saint Mary","6"
2,"Baker","Florida","Sanderson","9"
3,"Bay","Florida","Panama City Beach","39"
3,"Bay","Florida","Inlet Beach","1"
3,"Bay","Florida","Callaway","5"
3,"Bay","Florida","Youngstown","6"
3,"Bay","Florida","Southport","4"
3,"Bay","Florida","Panama City","200"
3,"Bay","Florida","Parker","1"
3,"Bay","Florida","Tyndall Air Force Base","2"
3,"Bay","Florida","Fountain","2"
3,"Bay","Florida","Lynn Haven","25"
4,"Bradford","Florida","Lake Butler","1"
4,"Bradford","Florida","Lawtey","12"
4,"Bradford","Florida","Brooker","2"
4,"Bradford","Florida","Starke","62"
4,"Bradford","Florida","Hampton","1"
5,"Brevard","Florida","Titusville","103"
5,"Brevard","Florida","Viera","15"
5,"Brevard","Florida","Rockledge","85"
5,"Brevard","Florida","Indialantic","21"
5,"Brevard","Florida","Cocoa Beach","44"
5,"Brevard","Florida","Patrick Air Force Base","5"
5,"Brevard","Florida","Palm Shores","1"
5,"Brevard","Florida","Valkaria","1"
5,"Brevard","Florida","Grant-Valkaria","7"
5,"Brevard","Florida","Malabar","8"
5,"Brevard","Florida","Mims","24"
5,"Brevard","Florida","Satellite Beach","42"
5,"Brevard","Florida","West Melbourne","18"
5,"Brevard","Florida","Melbourne Beach","10"
5,"Brevard","Florida","Cape Canaveral","25"
5,"Brevard","Florida","Melbourne","421"
5,"Brevard","Florida","Scottsmoor","1"
5,"Brevard","Florida","Merritt Island","102"
5,"Brevard","Florida","Palm Bay","275"
5,"Brevard","Florida","Cocoa","246"
5,"Brevard","Florida","Sebastian","4"
5,"Brevard","Florida","Barefoot Bay","5"
5,"Brevard","Florida","Indian Harbour Beach","14"
5,"Brevard","Florida","Port Saint John","2"
6,"Broward","Florida","Deerfield Beach","390"
6,"Broward","Florida","Davie","411"
6,"Broward","Florida","West Park","9"
6,"Broward","Florida","Pembroke Pines","264"
