"State","City","County","Cases"
"Florida","Miami","Dade","12,960"
"Florida","Hialeah","Dade","2,911"
"Florida","Tampa","Hillsborough","2,354"
"Florida","Orlando","Orange","2,334"
"Florida","Fort Lauderdale","Broward","1,997"
"Florida","West Palm Beach","Palm Beach","1,903"
"Florida","Hollywood","Broward","1,844"
"Florida","Jacksonville","Duval","1,827"
"Florida","Homestead","Dade","1,325"
"Florida","Naples","Collier","1,274"
"Florida","Lake Worth","Palm Beach","1,254"
"Florida","Fort Myers","Lee","1,175"
"Florida","Immokalee","Collier","1,092"
"Florida","Saint Petersburg","Pinellas","1,071"
"Florida","Pompano Beach","Broward","1,003"
"Florida","Miami Beach","Dade","958"
"Florida","Bradenton","Manatee","952"
"Florida","Boynton Beach","Palm Beach","848"
"Florida","Boca Raton","Palm Beach","795"
"Florida","Pensacola","Escambia","691"
"Florida","Lehigh Acres","Lee","645"
"Florida","Delray Beach","Palm Beach","637"
"Florida","Lake Worth Beach","Palm Beach","629"
"Florida","Kissimmee","Osceola","602"
"Florida","Port Saint Lucie","St. Lucie","589"
"Florida","Miramar","Broward","564"
"Florida","Lakeland","Polk","561"
"Florida","Cape Coral","Lee","526"
"Florida","Sarasota","Sarasota","499"
"Florida","Belle Glade","Palm Beach","499"
"Florida","Stuart","Martin","491"
"Florida","Indiantown","Martin","477"
"Florida","Miami Gardens","Dade","450"
"Florida","Clewiston","Hendry","445"
"Florida","Gainesville","Alachua","441"
"Florida","Tallahassee","Leon","435"
"Florida","Opa Locka","Dade","425"
"Florida","Jupiter","Palm Beach","413"
"Florida","Coral Springs","Broward","374"
"Florida","Florida City","Dade","371"
"Florida","North Miami","Dade","367"
"Florida","North Miami Beach","Dade","363"
"Florida","Arcadia","Desoto","333"
"Florida","Port Charlotte","Charlotte","327"
"Florida","Clearwater","Pinellas","324"
"Florida","Daytona Beach","Volusia","313"
"Florida","Winter Haven","Polk","288"
"Florida","Sunrise","Broward","283"
"Florida","Fort Pierce","St. Lucie","275"
"Florida","Doral","Dade","275"
"Florida","Royal Palm Beach","Palm Beach","273"
"Florida","Apopka","Orange","259"
"Florida","Palm Beach Gardens","Palm Beach","258"
"Florida","Deerfield Beach","Broward","245"
"Florida","Davie","Broward","238"
"Florida","Largo","Pinellas","236"
"Florida","Margate","Broward","230"
"Florida","South Bay","Palm Beach","227"
"Florida","Jasper","Hamilton","224"
"Florida","Quincy","Gadsden","224"
"Florida","South Miami","Dade","218"
"Florida","Bristol","Liberty","216"
"Florida","Ocala","Marion","215"
"Florida","Palmetto","Manatee","208"
"Florida","Plant City","Hillsborough","208"
"Florida","Riverview","Hillsborough","207"
"Florida","Brandon","Hillsborough","206"
"Florida","Plantation","Broward","201"
"Florida","Aventura","Dade","195"
"Florida","Orange Park","Clay","195"
"Florida","Tamarac","Broward","193"
"Florida","Pahokee","Palm Beach","184"
