"City","County","Cases"
"Miami","Dade","12,022"
"Hialeah","Dade","2,673"
"Tampa","Hillsborough","1,881"
"Fort Lauderdale","Broward","1,830"
"Orlando","Orange","1,794"
"Hollywood","Broward","1,736"
"Jacksonville","Duval","1,682"
"West Palm Beach","Palm Beach","1,542"
"Homestead","Dade","1,070"
"Naples","Collier","1,060"
"Lake Worth","Palm Beach","1,000"
"Fort Myers","Lee","970"
"Miami Beach","Dade","936"
"Immokalee","Collier","934"
"Pompano Beach","Broward","875"
"Bradenton","Manatee","848"
"Boynton Beach","Palm Beach","741"
"Saint Petersburg","Pinellas","720"
"Boca Raton","Palm Beach","714"
"Pensacola","Escambia","637"
"Delray Beach","Palm Beach","563"
"Lehigh Acres","Lee","545"
"Kissimmee","Osceola","538"
"Lake Worth Beach","Palm Beach","534"
"Miramar","Broward","508"
"Lakeland","Polk","492"
"Belle Glade","Palm Beach","467"
"Sarasota","Sarasota","451"
"Cape Coral","Lee","445"
"Port Saint Lucie","St. Lucie","442"
"Tallahassee","Leon","415"
"Miami Gardens","Dade","413"
"Clewiston","Hendry","410"
"Indiantown","Martin","394"
"Opa Locka","Dade","384"
"Jupiter","Palm Beach","369"
"Stuart","Martin","364"
"North Miami Beach","Dade","352"
"North Miami","Dade","350"
"Florida City","Dade","346"
"Coral Springs","Broward","337"
"Gainesville","Alachua","314"
"Port Charlotte","Charlotte","306"
"Daytona Beach","Volusia","293"
"Arcadia","Desoto","286"
"Sunrise","Broward","259"
"Clearwater","Pinellas","246"
"Doral","Dade","241"
"Winter Haven","Polk","237"
"Palm Beach Gardens","Palm Beach","229"
"Royal Palm Beach","Palm Beach","225"
"Jasper","Hamilton","223"
"Apopka","Orange","222"
"South Bay","Palm Beach","220"
"Deerfield Beach","Broward","219"
"Quincy","Gadsden","219"
"Davie","Broward","217"
"Margate","Broward","216"
"Bristol","Liberty","215"
"Fort Pierce","St. Lucie","213"
"South Miami","Dade","209"
"Ocala","Marion","202"
"Largo","Pinellas","192"
"Orange Park","Clay","186"
"Tamarac","Broward","184"
"Palmetto","Manatee","183"
"Plantation","Broward","181"
"Aventura","Dade","181"
"Plant City","Hillsborough","174"
"Riverview","Hillsborough","165"
"Wellington","Palm Beach","164"
