"State","City","County","Cases"
"Florida","Parrish","Manatee","56"
"Florida","Wimauma","Hillsborough","54"
"Florida","Avon Park","Highlands","53"
"Florida","Lutz","Hillsborough","52"
"Florida","Perry","Taylor","52"
"Florida","Zephyrhills","Pasco","51"
"Florida","Leesburg","Lake","50"
"Florida","Jacksonville Beach","Duval","50"
"Florida","Windermere","Orange","49"
"Florida","Seffner","Hillsborough","48"
"Florida","Mulberry","Polk","48"
"Florida","Eustis","Lake","48"
"Florida","Dania","Broward","47"
"Florida","Key West","Monroe","47"
"Florida","Starke","Bradford","46"
"Florida","Saint Johns","St. Johns","45"
"Florida","Brooksville","Hernando","44"
"Florida","Navarre","Santa Rosa","44"
"Florida","Destin","Okaloosa","43"
"Florida","Debary","Volusia","43"
"Florida","Titusville","Brevard","43"
"Florida","Myakka City","Manatee","42"
"Florida","Parkland","Broward","42"
"Florida","Crestview","Okaloosa","42"
"Florida","North Palm Beach","Palm Beach","41"
"Florida","Holly Hill","Volusia","41"
"Florida","Tarpon Springs","Pinellas","40"
"Florida","Port Richey","Pasco","40"
"Florida","Ponte Vedra","St. Johns","40"
"Florida","Haines City","Polk","40"
"Florida","Sarasota","Manatee","39"
"Florida","Orange City","Volusia","38"
"Florida","Jennings","Hamilton","38"
"Florida","Pinecrest","Dade","37"
"Florida","Palmetto Bay","Dade","37"
"Florida","Ellenton","Manatee","36"
"Florida","Fleming Island","Clay","36"
"Florida","New Smyrna Beach","Volusia","35"
"Florida","Niceville","Okaloosa","35"
"Florida","Jensen Beach","Martin","35"
"Florida","Old Town","Dixie","35"
"Florida","Gulf Breeze","Santa Rosa","35"
"Florida","Rockledge","Brevard","33"
"Florida","Summerfield","Marion","33"
"Florida","Fernandina Beach","Nassau","33"
"Florida","Merritt Island","Brevard","33"
"Florida","Palm Beach","Palm Beach","33"
"Florida","Dunedin","Pinellas","32"
"Florida","Fort Meade","Polk","32"
"Florida","Crawfordville","Wakulla","31"
"Florida","Apollo Beach","Hillsborough","31"
"Florida","Hudson","Pasco","31"
"Florida","Holiday","Pasco","31"
"Florida","Sun City Center","Hillsborough","31"
"Florida","Monticello","Jefferson","29"
"Florida","Gibsonton","Hillsborough","29"
"Florida","Lake Placid","Highlands","28"
"Florida","Tavernier","Monroe","27"
"Florida","Bonifay","Holmes","26"
"Florida","Ave Maria","Collier","26"
"Florida","Dover","Hillsborough","25"
"Florida","Mount Dora","Lake","24"
"Florida","Thonotosassa","Hillsborough","24"
"Florida","Maitland","Orange","23"
"Florida","Cross City","Dixie","23"
"Florida","Havana","Gadsden","23"
"Florida","Greenacres","Palm Beach","22"
"Florida","Marco Island","Collier","22"
"Florida","Lake Park","Palm Beach","22"
"Florida","Macclenny","Baker","22"
"Florida","Groveland","Lake","22"
"Florida","Santa Rosa Beach","Walton","22"
"Florida","Lake Panasoffkee","Sumter","22"
"Florida","Fellsmere","Indian River","22"
"Florida","Newberry","Alachua","21"
"Florida","Florida Dept Of Corrections","Union","21"
"Florida","Alachua","Alachua","21"
