"State","City","County","Cases"
"Florida","Miami","Dade","13,165"
"Florida","Hialeah","Dade","2,933"
"Florida","Tampa","Hillsborough","2,480"
"Florida","Orlando","Orange","2,457"
"Florida","Fort Lauderdale","Broward","2,039"
"Florida","West Palm Beach","Palm Beach","1,949"
"Florida","Hollywood","Broward","1,871"
"Florida","Jacksonville","Duval","1,861"
"Florida","Homestead","Dade","1,347"
"Florida","Naples","Collier","1,300"
"Florida","Lake Worth","Palm Beach","1,295"
"Florida","Fort Myers","Lee","1,208"
"Florida","Saint Petersburg","Pinellas","1,149"
"Florida","Immokalee","Collier","1,118"
"Florida","Pompano Beach","Broward","1,016"
"Florida","Bradenton","Manatee","982"
"Florida","Miami Beach","Dade","961"
"Florida","Boynton Beach","Palm Beach","863"
"Florida","Boca Raton","Palm Beach","814"
"Florida","Pensacola","Escambia","698"
"Florida","Lehigh Acres","Lee","664"
"Florida","Delray Beach","Palm Beach","646"
"Florida","Lake Worth Beach","Palm Beach","637"
"Florida","Port Saint Lucie","St. Lucie","614"
"Florida","Kissimmee","Osceola","611"
"Florida","Lakeland","Polk","573"
"Florida","Miramar","Broward","569"
"Florida","Cape Coral","Lee","538"
"Florida","Stuart","Martin","511"
"Florida","Sarasota","Sarasota","507"
"Florida","Indiantown","Martin","503"
"Florida","Belle Glade","Palm Beach","499"
"Florida","Miami Gardens","Dade","451"
"Florida","Gainesville","Alachua","448"
"Florida","Clewiston","Hendry","446"
"Florida","Tallahassee","Leon","440"
"Florida","Opa Locka","Dade","428"
"Florida","Jupiter","Palm Beach","424"
"Florida","Coral Springs","Broward","381"
"Florida","Florida City","Dade","372"
"Florida","North Miami","Dade","367"
"Florida","North Miami Beach","Dade","363"
"Florida","Arcadia","Desoto","355"
"Florida","Clearwater","Pinellas","345"
"Florida","Port Charlotte","Charlotte","330"
"Florida","Daytona Beach","Volusia","315"
"Florida","Winter Haven","Polk","300"
"Florida","Fort Pierce","St. Lucie","291"
"Florida","Sunrise","Broward","289"
"Florida","Doral","Dade","278"
"Florida","Royal Palm Beach","Palm Beach","275"
"Florida","Apopka","Orange","269"
"Florida","Palm Beach Gardens","Palm Beach","265"
"Florida","Largo","Pinellas","259"
"Florida","Deerfield Beach","Broward","246"
"Florida","Davie","Broward","243"
"Florida","Margate","Broward","237"
"Florida","South Bay","Palm Beach","227"
"Florida","Brandon","Hillsborough","226"
"Florida","Quincy","Gadsden","225"
"Florida","Jasper","Hamilton","225"
"Florida","South Miami","Dade","223"
"Florida","Riverview","Hillsborough","221"
"Florida","Ocala","Marion","218"
"Florida","Bristol","Liberty","217"
"Florida","Plant City","Hillsborough","216"
"Florida","Palmetto","Manatee","213"
"Florida","Plantation","Broward","203"
"Florida","Aventura","Dade","197"
"Florida","Tamarac","Broward","196"
"Florida","Orange Park","Clay","195"
"Florida","Pahokee","Palm Beach","184"
"Florida","Wellington","Palm Beach","184"
"Florida","Pembroke Pines","Broward","180"
"Florida","Bonita Springs","Lee","179"
"Florida","Okeechobee","Okeechobee","176"
"Florida","North Lauderdale","Broward","173"
"Florida","Coral Gables","Dade","172"
"Florida","Saint Cloud","Osceola","171"
"Florida","Milton","Santa Rosa","171"
"Florida","Punta Gorda","Charlotte","170"
"Florida","Live Oak","Suwannee","169"
"Florida","Lake City","Columbia","169"
"Florida","Palm Coast","Flagler","168"
"Florida","Labelle","Hendry","166"
"Florida","Weston","Broward","164"
"Florida","Seminole","Pinellas","163"
"Florida","Sneads","Jackson","161"
"Florida","Melbourne","Brevard","157"
"Florida","Sanford","Seminole","151"
"Florida","Altamonte Springs","Seminole","149"
"Florida","Vero Beach","Indian River","148"
"Florida","Oviedo","Seminole","144"
"Florida","Hallandale","Broward","143"
"Florida","Fort Walton Beach","Okaloosa","139"
"Florida","Coconut Creek","Broward","138"
"Florida","Oakland Park","Broward","132"
"Florida","Deltona","Volusia","131"
"Florida","Ruskin","Hillsborough","127"
"Florida","Saint Augustine","St. Johns","125"
"Florida","Clermont","Lake","123"
"Florida","Wilton Manors","Broward","123"
"Florida","North Port","Sarasota","122"
"Florida","Bushnell","Sumter","122"
"Florida","Palatka","Putnam","121"
"Florida","Pinellas Park","Pinellas","118"
"Florida","Green Cove Springs","Clay","115"
"Florida","Ormond Beach","Volusia","115"
"Florida","Davenport","Polk","113"
"Florida","Moore Haven","Glades","112"
"Florida","Lauderhill","Broward","111"
"Florida","Cocoa","Brevard","107"
"Florida","Winter Garden","Orange","107"
"Florida","New Port Richey","Pasco","101"
"Florida","Lantana","Palm Beach","101"
"Florida","Winter Park","Orange","98"
"Florida","Marianna","Jackson","95"
"Florida","Palm Harbor","Pinellas","95"
"Florida","Riviera Beach","Palm Beach","95"
"Florida","Panama City","Bay","94"
"Florida","Ocoee","Orange","94"
"Florida","Casselberry","Seminole","91"
"Florida","Wauchula","Hardee","90"
"Florida","Wesley Chapel","Pasco","87"
"Florida","Defuniak Springs","Walton","86"
"Florida","Spring Hill","Hernando","83"
"Florida","Hobe Sound","Martin","83"
"Florida","Palm Bay","Brevard","83"
"Florida","Tavares","Lake","82"
"Florida","Land O Lakes","Pasco","82"
"Florida","Bartow","Polk","82"
"Florida","Lauderdale Lakes","Broward","82"
"Florida","Deland","Volusia","81"
"Florida","Sebring","Highlands","81"
"Florida","North Fort Myers","Lee","80"
"Florida","Miami Lakes","Dade","80"
"Florida","Venice","Sarasota","79"
"Florida","Key Biscayne","Dade","76"
"Florida","Middleburg","Clay","76"
"Florida","Longwood","Seminole","76"
"Florida","Chipley","Washington","76"
"Florida","Lake Wales","Polk","75"
"Florida","Loxahatchee","Palm Beach","75"
"Florida","Lake Mary","Seminole","74"
"Florida","Estero","Lee","74"
"Florida","Valrico","Hillsborough","74"
"Florida","Palm City","Martin","71"
"Florida","The Villages","Sumter","70"
"Florida","Bowling Green","Hardee","70"
"Florida","Dade City","Pasco","68"
"Florida","Port Orange","Volusia","67"
"Florida","Chiefland","Levy","66"
"Florida","Madison","Madison","65"
"Florida","Winter Springs","Seminole","65"
"Florida","Wimauma","Hillsborough","63"
"Florida","Auburndale","Polk","63"
"Florida","Cooper City","Broward","62"
"Florida","Kissimmee","Polk","61"
"Florida","Ponte Vedra Beach","St. Johns","61"
"Florida","Blountstown","Calhoun","61"
"Florida","Eustis","Lake","59"
"Florida","Cantonment","Escambia","59"
"Florida","Seffner","Hillsborough","58"
"Florida","Perry","Taylor","58"
"Florida","Inverness","Citrus","58"
"Florida","Lutz","Hillsborough","58"
"Florida","Jacksonville Beach","Duval","57"
"Florida","Parrish","Manatee","57"
"Florida","Palm Springs","Palm Beach","56"
"Florida","Mulberry","Polk","53"
"Florida","Avon Park","Highlands","53"
"Florida","Windermere","Orange","52"
"Florida","Zephyrhills","Pasco","52"
"Florida","Leesburg","Lake","51"
"Florida","Saint Johns","St. Johns","49"
"Florida","Dania","Broward","48"
"Florida","Debary","Volusia","47"
"Florida","Key West","Monroe","47"
"Florida","Brooksville","Hernando","47"
"Florida","Navarre","Santa Rosa","47"
"Florida","Crestview","Okaloosa","46"
"Florida","Starke","Bradford","46"
"Florida","Destin","Okaloosa","44"
"Florida","Titusville","Brevard","44"
"Florida","Tarpon Springs","Pinellas","44"
"Florida","Parkland","Broward","43"
"Florida","Myakka City","Manatee","42"
"Florida","North Palm Beach","Palm Beach","42"
"Florida","Haines City","Polk","42"
"Florida","Sarasota","Manatee","42"
"Florida","Port Richey","Pasco","42"
"Florida","Pinecrest","Dade","41"
"Florida","Orange City","Volusia","41"
"Florida","Holly Hill","Volusia","41"
"Florida","Ponte Vedra","St. Johns","40"
"Florida","Niceville","Okaloosa","38"
"Florida","Jennings","Hamilton","38"
"Florida","Fleming Island","Clay","37"
"Florida","Dunedin","Pinellas","37"
"Florida","Ellenton","Manatee","37"
"Florida","Palmetto Bay","Dade","37"
"Florida","Jensen Beach","Martin","36"
"Florida","New Smyrna Beach","Volusia","36"
"Florida","Fernandina Beach","Nassau","35"
"Florida","Old Town","Dixie","35"
"Florida","Rockledge","Brevard","35"
"Florida","Gulf Breeze","Santa Rosa","34"
"Florida","Fort Meade","Polk","34"
"Florida","Merritt Island","Brevard","33"
"Florida","Palm Beach","Palm Beach","33"
"Florida","Holiday","Pasco","33"
"Florida","Sun City Center","Hillsborough","33"
"Florida","Apollo Beach","Hillsborough","33"
"Florida","Hudson","Pasco","33"
"Florida","Summerfield","Marion","33"
"Florida","Gibsonton","Hillsborough","32"
"Florida","Crawfordville","Wakulla","31"
"Florida","Maitland","Orange","29"
"Florida","Lake Placid","Highlands","29"
"Florida","Monticello","Jefferson","29"
"Florida","Ave Maria","Collier","28"
"Florida","Mount Dora","Lake","28"
"Florida","Fellsmere","Indian River","27"
"Florida","Tavernier","Monroe","27"
"Florida","Bonifay","Holmes","26"
"Florida","Dover","Hillsborough","26"
"Florida","Odessa","Hillsborough","25"
"Florida","Thonotosassa","Hillsborough","25"
"Florida","Havana","Gadsden","24"
"Florida","Lake Park","Palm Beach","23"
"Florida","Crystal River","Citrus","23"
"Florida","Cross City","Dixie","23"
"Florida","Groveland","Lake","23"
"Florida","Santa Rosa Beach","Walton","22"
"Florida","Lake Panasoffkee","Sumter","22"
"Florida","Macclenny","Baker","22"
"Florida","Panama City Beach","Bay","22"
"Florida","Greenacres","Palm Beach","22"
"Florida","Jacksonville","St. Johns","22"
"Florida","Marco Island","Collier","22"
"Florida","Pace","Santa Rosa","21"
"Florida","Mary Esther","Okaloosa","21"
"Florida","Zolfo Springs","Hardee","21"
"Florida","Newberry","Alachua","21"
"Florida","Florida Dept Of Corrections","Union","21"
"Florida","Safety Harbor","Pinellas","21"
"Florida","Alachua","Alachua","21"
"Florida","Edgewater","Volusia","20"
"Florida","Lithia","Hillsborough","20"
"Florida","Interlachen","Putnam","20"
"Florida","Key Largo","Monroe","20"
"Florida","Lady Lake","Lake","20"
"Florida","Bunnell","Flagler","20"
"Florida","Shalimar","Okaloosa","19"
"Florida","Oldsmar","Pinellas","19"
"Florida","Fort Myers Beach","Lee","19"
"Florida","Oxford","Sumter","19"
"Florida","Satellite Beach","Brevard","18"
"Florida","Tequesta","Palm Beach","18"
"Florida","Callahan","Nassau","17"
"Florida","Williston","Levy","17"
"Florida","Chuluota","Seminole","17"
"Florida","Clearwater Beach","Pinellas","17"
"Florida","El Portal","Dade","17"
"Florida","Chattahoochee","Gadsden","17"
"Florida","Midway","Gadsden","16"
"Florida","Nokomis","Sarasota","16"
"Florida","Sebastian","Indian River","16"
"Florida","Felda","Hendry","16"
"Florida","Carol City","Dade","16"
"Florida","Frostproof","Polk","16"
"Florida","Cutler Bay","Dade","15"
"Florida","Dunnellon","Marion","15"
"Florida","Yulee","Nassau","15"
"Florida","Bal Harbour","Dade","15"
"Florida","Gretna","Gadsden","15"
"Florida","Rotunda West","Charlotte","15"
"Florida","Molino","Escambia","15"
"Florida","Atlantic Beach","Duval","15"
"Florida","East Palatka","Putnam","15"
"Florida","West Miami","Dade","15"
"Florida","Cocoa Beach","Brevard","15"
"Florida","Flagler Beach","Flagler","14"
"Florida","Lakewood Ranch","Manatee","14"
"Florida","Hialeah Gardens","Dade","14"
"Florida","Hilliard","Nassau","14"
"Florida","Lynn Haven","Bay","14"
"Florida","Mascotte","Lake","14"
"Florida","Trenton","Gilchrist","13"
"Florida","Greenwood","Jackson","13"
"Florida","Medley","Dade","13"
"Florida","Sanibel","Lee","13"
"Florida","Lecanto","Citrus","13"
"Florida","Englewood","Charlotte","13"
"Florida","Citrus Springs","Citrus","13"
"Florida","Bronson","Levy","13"
"Florida","North Bay Village","Dade","13"
"Florida","Lake Butler","Union","13"
"Florida","Viera","Brevard","13"
"Florida","Homosassa","Citrus","12"
"Florida","Mayo","Lafayette","12"
"Florida","High Springs","Alachua","12"
"Florida","Englewood","Sarasota","12"
"Florida","Cottondale","Jackson","12"
"Florida","South Daytona","Volusia","11"
"Florida","Temple Terrace","Hillsborough","11"
"Florida","Indian Rocks Beach","Pinellas","11"
"Florida","Lake Alfred","Polk","11"
"Florida","Miami Springs","Dade","11"
"Florida","Osprey","Sarasota","11"
"Florida","Hallandale Beach","Broward","11"
"Florida","Fort White","Columbia","11"
"Florida","Biscayne Park","Dade","11"
"Florida","Coconut Grove","Dade","10"
"Florida","Citra","Marion","10"
"Florida","Keystone Heights","Clay","10"
"Florida","Sorrento","Lake","10"
"Florida","Canal Point","Palm Beach","10"
"Florida","Kendall","Dade","10"
"Florida","Neptune Beach","Duval","10"
"Florida","Alva","Lee","10"
"Florida","Belleview","Marion","10"
"Florida","The Villages","Lake","10"
"Florida","Gotha","Orange","10"
"Florida","Belle Isle","Orange","10"
"Florida","Bell","Gilchrist","10"
"Florida","Sunny Isles Beach","Dade","9"
"Florida","Eagle Lake","Polk","9"
"Florida","Juno Beach","Palm Beach","9"
"Florida","Beverly Hills","Citrus","9"
"Florida","Gulfport","Pinellas","9"
"Florida","Wildwood","Sumter","9"
"Florida","Poinciana","Polk","9"
"Florida","Southwest Ranches","Broward","9"
"Florida","Hernando","Citrus","9"
"Florida","Crescent City","Putnam","9"
"Florida","Umatilla","Lake","9"
"Florida","Freeport","Walton","9"
"Florida","Trinity","Pasco","8"
"Florida","Atlantis","Palm Beach","8"
"Florida","Mims","Brevard","8"
"Florida","Minneola","Lake","8"
"Florida","Grand Ridge","Jackson","8"
