"City","County","Cases"
"Crawfordville","Wakulla","31"
"Gulf Breeze","Santa Rosa","31"
"Pinecrest","Dade","31"
"Fernandina Beach","Nassau","31"
"Sun City Center","Hillsborough","31"
"Summerfield","Marion","30"
"Hudson","Pasco","30"
"Monticello","Jefferson","29"
"Missing","Broward","28"
"Dunedin","Pinellas","27"
"Apollo Beach","Hillsborough","27"
"Rockledge","Brevard","27"
"Gibsonton","Hillsborough","26"
"Holiday","Pasco","26"
"Tavernier","Monroe","26"
"Ave Maria","Collier","25"
"Thonotosassa","Hillsborough","23"
"Tavares","Lake","23"
"Cross City","Dixie","23"
"Bonifay","Holmes","23"
"Fort Meade","Polk","23"
"Havana","Gadsden","23"
"Marco Island","Collier","22"
"Missing","Orange","22"
"Macclenny","Baker","22"
"Dover","Hillsborough","22"
"Lake Placid","Highlands","22"
"Missing","Hillsborough","22"
"Lake Panasoffkee","Sumter","22"
"Maitland","Orange","21"
"Florida Dept Of Corrections","Union","21"
"Santa Rosa Beach","Walton","21"
"Mount Dora","Lake","21"
"Missing","Lee","21"
"Greenacres","Palm Beach","21"
"Interlachen","Putnam","20"
"Panama City Beach","Bay","20"
"Groveland","Lake","20"
"Newberry","Alachua","20"
"Alachua","Alachua","19"
"Oxford","Sumter","19"
"Bunnell","Flagler","19"
"Lake Park","Palm Beach","19"
"Key Largo","Monroe","18"
"Lady Lake","Lake","18"
"Jacksonville","St. Johns","18"
"Satellite Beach","Brevard","18"
"Pace","Santa Rosa","18"
"Zolfo Springs","Hardee","18"
"Shalimar","Okaloosa","18"
"Edgewater","Volusia","18"
"Chattahoochee","Gadsden","17"
"El Portal","Dade","17"
"Safety Harbor","Pinellas","17"
"Mary Esther","Okaloosa","17"
"Crystal River","Citrus","17"
"Callahan","Nassau","17"
"Odessa","Hillsborough","16"
"Carol City","Dade","16"
"Fort Myers Beach","Lee","16"
"Gretna","Gadsden","15"
"Bal Harbour","Dade","15"
"Felda","Hendry","15"
"West Miami","Dade","15"
"Clearwater Beach","Pinellas","15"
"Cutler Bay","Dade","15"
"Tequesta","Palm Beach","15"
"Williston","Levy","15"
"Mascotte","Lake","14"
"Midway","Gadsden","14"
"Oldsmar","Pinellas","14"
"Sebastian","Indian River","14"
"Lakewood Ranch","Manatee","14"
"Hialeah Gardens","Dade","14"
"Rotunda West","Charlotte","14"
