"State","City","County","Cases"
"Florida","Miami","Dade","12,499"
"Florida","Hialeah","Dade","2,806"
"Florida","Tampa","Hillsborough","2,159"
"Florida","Orlando","Orange","2,039"
"Florida","Fort Lauderdale","Broward","1,934"
"Florida","Hollywood","Broward","1,815"
"Florida","Jacksonville","Duval","1,770"
"Florida","West Palm Beach","Palm Beach","1,738"
"Florida","Homestead","Dade","1,182"
"Florida","Naples","Collier","1,162"
"Florida","Lake Worth","Palm Beach","1,138"
"Florida","Immokalee","Collier","1,054"
"Florida","Fort Myers","Lee","1,035"
"Florida","Pompano Beach","Broward","957"
"Florida","Miami Beach","Dade","944"
"Florida","Bradenton","Manatee","900"
"Florida","Saint Petersburg","Pinellas","887"
"Florida","Boynton Beach","Palm Beach","798"
"Florida","Boca Raton","Palm Beach","755"
"Florida","Pensacola","Escambia","676"
"Florida","Delray Beach","Palm Beach","604"
"Florida","Lehigh Acres","Lee","582"
"Florida","Lake Worth Beach","Palm Beach","578"
"Florida","Kissimmee","Osceola","569"
"Florida","Miramar","Broward","552"
"Florida","Port Saint Lucie","St. Lucie","535"
"Florida","Lakeland","Polk","533"
"Florida","Cape Coral","Lee","486"
"Florida","Belle Glade","Palm Beach","485"
"Florida","Sarasota","Sarasota","465"
"Florida","Indiantown","Martin","436"
"Florida","Miami Gardens","Dade","434"
"Florida","Tallahassee","Leon","432"
"Florida","Stuart","Martin","432"
"Florida","Clewiston","Hendry","427"
"Florida","Gainesville","Alachua","409"
"Florida","Opa Locka","Dade","402"
"Florida","Jupiter","Palm Beach","390"
"Florida","Coral Springs","Broward","369"
"Florida","North Miami Beach","Dade","360"
"Florida","North Miami","Dade","359"
"Florida","Florida City","Dade","353"
"Florida","Port Charlotte","Charlotte","320"
"Florida","Arcadia","Desoto","309"
"Florida","Daytona Beach","Volusia","296"
"Florida","Clearwater","Pinellas","284"
"Florida","Sunrise","Broward","272"
"Florida","Winter Haven","Polk","264"
"Florida","Doral","Dade","262"
"Florida","Royal Palm Beach","Palm Beach","248"
"Florida","Apopka","Orange","244"
"Florida","Fort Pierce","St. Lucie","243"
"Florida","Palm Beach Gardens","Palm Beach","242"
"Florida","Deerfield Beach","Broward","234"
"Florida","Davie","Broward","230"
"Florida","Margate","Broward","226"
"Florida","South Bay","Palm Beach","225"
"Florida","Jasper","Hamilton","223"
"Florida","Quincy","Gadsden","223"
"Florida","Bristol","Liberty","215"
"Florida","South Miami","Dade","215"
"Florida","Largo","Pinellas","211"
"Florida","Ocala","Marion","210"
"Florida","Palmetto","Manatee","200"
"Florida","Orange Park","Clay","192"
"Florida","Tamarac","Broward","190"
"Florida","Plantation","Broward","190"
"Florida","Aventura","Dade","190"
"Florida","Plant City","Hillsborough","186"
"Florida","Riverview","Hillsborough","184"
"Florida","Brandon","Hillsborough","182"
"Florida","Wellington","Palm Beach","170"
"Florida","Pembroke Pines","Broward","169"
"Florida","Pahokee","Palm Beach","169"
"Florida","Milton","Santa Rosa","166"
"Florida","Punta Gorda","Charlotte","166"
"Florida","Lake City","Columbia","165"
"Florida","Palm Coast","Flagler","165"
"Florida","Saint Cloud","Osceola","162"
"Florida","North Lauderdale","Broward","162"
"Florida","Bonita Springs","Lee","162"
"Florida","Sneads","Jackson","161"
"Florida","Coral Gables","Dade","160"
"Florida","Weston","Broward","159"
"Florida","Live Oak","Suwannee","158"
"Florida","Seminole","Pinellas","153"
"Florida","Okeechobee","Okeechobee","147"
"Florida","Melbourne","Brevard","143"
"Florida","Labelle","Hendry","140"
"Florida","Vero Beach","Indian River","138"
"Florida","Hallandale","Broward","138"
"Florida","Sanford","Seminole","131"
"Florida","Fort Walton Beach","Okaloosa","129"
"Florida","Coconut Creek","Broward","127"
"Florida","Oakland Park","Broward","126"
"Florida","Altamonte Springs","Seminole","125"
"Florida","Bushnell","Sumter","122"
"Florida","North Port","Sarasota","120"
"Florida","Wilton Manors","Broward","120"
"Florida","Saint Augustine","St. Johns","118"
"Florida","Palatka","Putnam","116"
"Florida","Deltona","Volusia","116"
"Florida","Ormond Beach","Volusia","115"
"Florida","Green Cove Springs","Clay","114"
"Florida","Oviedo","Seminole","113"
"Florida","Clermont","Lake","111"
"Florida","Davenport","Polk","106"
"Florida","Moore Haven","Glades","105"
"Florida","Lauderhill","Broward","104"
"Florida","Ruskin","Hillsborough","101"
"Florida","Cocoa","Brevard","100"
"Florida","Winter Garden","Orange","96"
"Florida","Marianna","Jackson","94"
"Florida","Pinellas Park","Pinellas","93"
"Florida","Lantana","Palm Beach","92"
"Florida","Riviera Beach","Palm Beach","87"
"Florida","Panama City","Bay","86"
"Florida","New Port Richey","Pasco","86"
"Florida","Ocoee","Orange","85"
"Florida","Palm Harbor","Pinellas","85"
"Florida","Defuniak Springs","Walton","84"
"Florida","Sebring","Highlands","82"
"Florida","Spring Hill","Hernando","81"
"Florida","Winter Park","Orange","80"
"Florida","Casselberry","Seminole","79"
"Florida","Bartow","Polk","79"
"Florida","Miami Lakes","Dade","78"
"Florida","Lauderdale Lakes","Broward","78"
"Florida","Wesley Chapel","Pasco","77"
"Florida","Hobe Sound","Martin","76"
"Florida","Wauchula","Hardee","76"
"Florida","Key Biscayne","Dade","74"
"Florida","Venice","Sarasota","74"
"Florida","Middleburg","Clay","74"
"Florida","Deland","Volusia","74"
"Florida","Chipley","Washington","73"
"Florida","Estero","Lee","73"
"Florida","North Fort Myers","Lee","73"
"Florida","Palm Bay","Brevard","70"
"Florida","Valrico","Hillsborough","69"
"Florida","The Villages","Sumter","69"
"Florida","Longwood","Seminole","68"
"Florida","Loxahatchee","Palm Beach","67"
"Florida","Land O Lakes","Pasco","67"
"Florida","Lake Wales","Polk","65"
"Florida","Chiefland","Levy","65"
"Florida","Palm City","Martin","65"
"Florida","Bowling Green","Hardee","64"
"Florida","Dade City","Pasco","64"
"Florida","Port Orange","Volusia","63"
"Florida","Blountstown","Calhoun","60"
"Florida","Madison","Madison","60"
"Florida","Lake Mary","Seminole","59"
"Florida","Kissimmee","Polk","59"
"Florida","Cooper City","Broward","58"
"Florida","Cantonment","Escambia","57"
"Florida","Parrish","Manatee","55"
"Florida","Auburndale","Polk","55"
"Florida","Ponte Vedra Beach","St. Johns","55"
"Florida","Winter Springs","Seminole","54"
"Florida","Inverness","Citrus","54"
"Florida","Avon Park","Highlands","53"
"Florida","Palm Springs","Palm Beach","53"
"Florida","Wimauma","Hillsborough","52"
"Florida","Perry","Taylor","51"
"Florida","Zephyrhills","Pasco","50"
"Florida","Lutz","Hillsborough","50"
"Florida","Jacksonville Beach","Duval","49"
"Florida","Leesburg","Lake","49"
"Florida","Windermere","Orange","47"
"Florida","Dania","Broward","47"
"Florida","Mulberry","Polk","46"
"Florida","Starke","Bradford","46"
"Florida","Key West","Monroe","46"
"Florida","Seffner","Hillsborough","45"
"Florida","Saint Johns","St. Johns","44"
"Florida","Eustis","Lake","44"
"Florida","Titusville","Brevard","43"
"Florida","Debary","Volusia","43"
"Florida","Holly Hill","Volusia","43"
"Florida","Navarre","Santa Rosa","43"
"Florida","Brooksville","Hernando","42"
"Florida","Myakka City","Manatee","42"
"Florida","Crestview","Okaloosa","42"
"Florida","Destin","Okaloosa","41"
"Florida","North Palm Beach","Palm Beach","40"
"Florida","Parkland","Broward","40"
"Florida","Ponte Vedra","St. Johns","39"
"Florida","Port Richey","Pasco","39"
"Florida","Tarpon Springs","Pinellas","39"
"Florida","Haines City","Polk","38"
"Florida","Palmetto Bay","Dade","37"
"Florida","Sarasota","Manatee","37"
"Florida","Orange City","Volusia","37"
"Florida","Jennings","Hamilton","37"
"Florida","Fleming Island","Clay","36"
"Florida","Niceville","Okaloosa","35"
"Florida","Ellenton","Manatee","35"
"Florida","Tavares","Lake","35"
"Florida","Old Town","Dixie","35"
"Florida","Pinecrest","Dade","34"
"Florida","Gulf Breeze","Santa Rosa","34"
"Florida","Merritt Island","Brevard","34"
"Florida","New Smyrna Beach","Volusia","34"
"Florida","Palm Beach","Palm Beach","33"
"Florida","Jensen Beach","Martin","33"
"Florida","Summerfield","Marion","33"
"Florida","Rockledge","Brevard","32"
"Florida","Fernandina Beach","Nassau","32"
"Florida","Sun City Center","Hillsborough","31"
"Florida","Crawfordville","Wakulla","31"
"Florida","Hudson","Pasco","31"
"Florida","Holiday","Pasco","30"
"Florida","Monticello","Jefferson","29"
"Florida","Apollo Beach","Hillsborough","29"
"Florida","Lake Placid","Highlands","28"
"Florida","Dunedin","Pinellas","28"
"Florida","Fort Meade","Polk","27"
"Florida","Bonifay","Holmes","26"
